player_id,nickname,country,position,faceit_elo,game_skill_level,lifetime_matches,lifetime_win_rate_percent,lifetime_kd_ratio,lifetime_headshots_percent
efb488f3-22e5-49dd-85b5-bf6df3d2ec88,tsug333,br,560,2583,10,1750,55,1.13,58
fb17fa6c-7120-4a8f-95d8-8fcc4c1e9037,veta_mirage,br,561,2582,10,2768,51,1.11,58
d8508cfa-7eaf-4c87-88b4-20a50e6447e1,ubahhhh,cl,562,2582,10,2449,54,1.21,52
ab962913-e7f6-4e1f-9ad7-05def62d842d,eoVintage,br,563,2582,10,2059,53,1.25,46
9d2e09fb-fa89-4564-8b4c-4759608a6d0c,frt_-,br,564,2582,10,475,55,1.21,54
d78049df-def6-4a76-b701-ab7b38e11893,-nachoutsuke,ar,565,2579,10,1549,57,1.38,57
81f3c51e-172b-4351-9541-ff90a40fef06,ICEmaker,br,566,2579,10,3652,53,1.18,58
a6c7b70d-59ef-40ad-afd7-d15e6ed18c8b,sanvine,br,567,2578,10,1354,52,1.3,62
a163c4a6-ad18-4d3a-bacd-1ce4e1e6b6da,em4n_-,br,568,2578,10,1979,57,1.36,52
3f2892e0-a991-429d-98c0-305cf99c591c,Peishoto49,br,569,2578,10,1483,52,1.19,43
8867dc6e-2851-47f0-9b4e-637f94aa07cb,mglx,br,570,2577,10,623,54,1.24,56
87ceef65-31a1-4f0b-93f4-515ada4734ce,Anyy,br,571,2576,10,1254,54,1.25,45
669bbbf3-05be-4148-b21c-36e8b4b3f2c7,thefamosagod,br,572,2576,10,1709,53,1.25,43
124af062-06e6-4bb9-834f-8ff15fc73b5a,Icepeek-,cl,573,2576,10,3113,52,1.18,57
d470c646-0d6c-43fb-aff6-e74d0c8172cd,lobinhogames,br,574,2575,10,1608,52,1.15,49
2b63b3f8-db74-4f96-9725-fe1f4adbc297,Lecz1n,br,575,2574,10,1317,54,1.1,57
18f3f147-4f45-4ae0-bf46-2ac3cd28aa81,felipex,br,576,2574,10,917,52,1.15,43
be945614-1a0b-4e4e-92f6-e981111d4e92,RasQ,br,577,2573,10,2429,51,1.02,52
9ffbcdda-2a4a-421f-b8f5-2341b48e7930,sakola,br,578,2573,10,5151,53,1.15,45
85366601-0b80-41a9-897f-c8cd9b0d1bb3,degez1n,br,579,2573,10,516,60,1.4,45
7a79c7d2-93de-42dc-bd22-3dcd68ebece8,wayyfps,br,580,2573,10,406,59,1.27,45
36e4d200-c1f7-45cc-b22b-3f7db3212a29,hzn,cl,581,2573,10,878,57,1.31,51
21310589-9fe3-4f17-887a-d643789780ee,Pantano,br,582,2572,10,885,54,1.6,40
639f1060-1dd2-4a3b-8a8f-88e863d300ca,w1v-,ar,583,2571,10,1518,52,1.21,52
e57573a8-1fb9-4af4-b7fa-0d38fbec3984,cesm_,br,584,2570,10,866,58,1.17,50
947d00f5-73f3-4d77-975b-22cc1bbcf832,it0z,br,585,2570,10,1219,52,1.3,50
946e467b-21f7-4c11-b5b9-a0914154b59a,CHOCOLATAO,br,586,2569,10,3614,52,1.18,43
f6e836fc-23e5-4a2e-9001-1ce1add1083f,punizin,br,587,2568,10,5234,50,1.17,54
f8ecf4d7-0eef-4ffc-9b78-999835870cf4,Circa1,ve,588,2567,10,1400,60,1.37,53
8587f156-4842-411b-bde1-4fdb59fe2b64,kNgV,br,589,2567,10,1838,58,1.35,38
d4d6d3ae-9be5-4030-8100-5999e0e73a45,KNCERATO,br,590,2566,10,1019,57,1.25,55
a0e4b825-433d-4434-bd60-454b7b1fb006,percsona,ar,591,2566,10,1111,58,1.26,58
